B3_difference_extra;E4_having_child;E21_sex;E22_Age;E22_Age_Squared
47;1;1;35;1225
29;1;0;38;1444
22;1;1;31;961
19;1;0;39;1521
17;1;1;36;1296
15;1;1;38;1444
14;1;1;29;841
13;1;1;34;1156
12;1;0;38;1444
9;1;1;40;1600
7;1;1;31;961
6;1;1;33;1089
6;1;0;31;961
3;1;1;36;1296
3;1;0;34;1156
3;1;0;27;729
2;1;0;35;1225
0;1;0;48;2304
0;1;1;36;1296
0;1;1;28;784
0;1;1;31;961
69;0;0;28;784
62;0;0;30;900
55;1;1;33;1089
29;0;0;32;1024
17;1;0;35;1225
17;1;1;37;1369
17;0;0;37;1369
16;0;0;33;1089
13;1;0;34;1156
11;0;0;39;1521
9;0;1;29;841
7;0;0;33;1089
7;0;1;29;841
7;0;0;32;1024
7;0;1;32;1024
6;0;0;29;841
6;1;0;45;2025
6;0;0;28;784
5;1;0;31;961
5;0;1;28;784
4;1;1;28;784
4;0;1;29;841
4;0;0;32;1024
4;0;0;29;841
4;0;0;29;841
4;0;0;29;841
4;0;0;31;961
3;1;0;33;1089
3;0;1;33;1089
3;0;1;27;729
3;0;1;28;784
2;0;0;28;784
1;0;1;27;729
0;0;1;69;4761
0;0;0;28;784
0;0;1;28;784
0;0;1;28;784
0;0;1;29;841
0;0;1;32;1024
-1;0;1;30;900
-2;0;1;29;841
-2;0;1;29;841
56;0;1;29;841
55;1;0;28;784
47;0;0;32;1024
45;1;1;37;1369
36;0;1;30;900
33;1;0;31;961
31;0;1;31;961
26;0;1;37;1369
25;0;1;29;841
24;0;0;33;1089
22;0;1;29;841
22;0;0;33;1089
22;0;1;29;841
22;0;1;32;1024
21;0;1;30;900
21;0;1;31;961
20;0;0;32;1024
17;1;1;32;1024
16;0;1;33;1089
15;0;0;80;6400
15;0;0;31;961
14;1;0;35;1225
13;0;1;29;841
13;0;1;30;900
12;0;1;33;1089
11;0;0;28;784
11;0;0;28;784
10;0;1;28;784
9;0;0;31;961
8;0;1;29;841
8;0;0;31;961
8;0;1;27;729
7;0;1;32;1024
7;0;0;32;1024
7;0;0;29;841
6;0;0;30;900
6;0;0;29;841
6;0;1;29;841
5;0;1;32;1024
5;0;1;30;900
4;0;0;30;900
4;0;1;28;784
4;0;0;27;729
4;0;1;32;1024
4;0;0;29;841
4;0;0;31;961
4;0;1;29;841
4;0;1;28;784
3;1;0;34;1156
3;0;0;30;900
3;1;1;31;961
3;0;1;28;784
3;0;1;31;961
3;0;0;28;784
2;0;1;27;729
2;0;0;30;900
2;0;0;35;1225
2;0;0;29;841
2;0;1;29;841
1;1;0;28;784
1;0;1;29;841
1;0;0;26;676
0;0;0;34;1156
0;1;1;35;1225
0;0;0;27;729
0;0;0;30;900
0;0;0;35;1225
0;0;1;29;841
0;0;0;28;784
0;0;0;30;900
0;0;1;30;900
0;0;0;27;729
0;0;0;32;1024
0;0;1;30;900
0;0;1;37;1369
0;0;0;27;729
0;0;0;28;784
0;0;0;32;1024
0;0;1;31;961
0;0;1;80;6400
0;0;0;34;1156
0;0;1;30;900
0;0;0;29;841
-1;0;1;29;841
-1;0;1;29;841
-2;0;0;29;841
-2;0;1;27;729
54;0;0;31;961
52;0;1;28;784
49;0;0;26;676
38;1;1;39;1521
26;0;0;26;676
22;0;0;30;900
22;0;1;27;729
19;0;1;33;1089
16;0;0;30;900
13;0;0;29;841
13;0;1;31;961
12;0;1;32;1024
10;0;0;29;841
10;0;0;29;841
9;1;1;32;1024
8;0;0;29;841
8;0;1;32;1024
7;0;0;30;900
7;0;1;28;784
6;1;1;30;900
6;0;0;30;900
6;0;1;30;900
5;0;1;29;841
5;0;0;30;900
4;0;0;29;841
4;0;0;27;729
4;0;1;27;729
4;0;0;28;784
3;1;1;29;841
3;1;1;30;900
3;0;0;28;784
2;1;0;45;2025
2;0;0;36;1296
2;0;0;31;961
2;0;0;31;961
2;0;0;27;729
2;0;0;30;900
2;0;1;29;841
1;0;0;28;784
1;0;1;28;784
0;0;0;31;961
0;0;0;26;676
0;0;0;30;900
0;0;0;28;784
0;1;1;30;900
0;0;0;27;729
0;0;0;29;841
0;0;0;28;784
0;0;1;28;784
0;0;0;29;841
91;0;0;42;1764
62;1;1;37;1369
48;1;1;34;1156
46;0;1;31;961
38;0;1;30;900
37;0;0;33;1089
34;0;1;31;961
26;0;1;27;729
25;0;0;53;2809
20;0;1;31;961
20;0;1;32;1024
15;0;0;29;841
15;0;0;31;961
15;0;1;31;961
14;0;1;31;961
14;0;0;30;900
14;0;0;30;900
14;0;1;33;1089
12;0;0;29;841
11;0;1;33;1089
10;0;1;29;841
7;0;1;28;784
7;0;1;29;841
7;0;0;31;961
6;1;1;65;4225
6;0;0;29;841
6;0;0;27;729
6;0;0;33;1089
6;0;1;29;841
6;0;1;29;841
5;0;0;27;729
5;0;1;27;729
5;0;0;30;900
5;0;0;30;900
4;0;0;27;729
4;0;0;32;1024
4;0;0;31;961
4;0;1;27;729
4;0;1;29;841
3;1;1;34;1156
3;0;0;26;676
3;0;1;28;784
3;0;0;29;841
2;0;1;27;729
2;0;1;32;1024
1;0;0;28;784
1;0;1;28;784
1;0;0;31;961
1;0;1;28;784
0;0;1;29;841
0;0;0;28;784
0;0;0;28;784
0;1;1;35;1225
0;0;0;30;900
0;0;1;28;784
0;0;1;29;841
0;0;0;32;1024
0;0;1;26;676
